Vendor Name,Item Name,Item Variation,SKU,Category,Product Sales,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,Gross Sales,GTIN
All Good Foods,Coconut Groove 520ml,Regular,"",Drinks Fridge,$60.00,$0.00,$0.00,$60.00,$0.00,ea,15,0,$60.00,609613796258
All Good Foods,Daylesford and Hepburn Sparkling Mineral Water 750,Regular,"",Drinks Fridge,$28.82,$0.00,$0.00,$28.82,$2.93,ea,5,0,$31.75,9339948000232
All Good Foods,Daylesford and Hepburn Still Water 750ml,Regular,"",Drinks Fridge,$11.00,$0.00,$0.00,$11.00,$0.00,ea,2,0,$11.00,9339948000249
All Good Foods,"Organic Cola 300ml, Dayelsford & Hepburn",Regular,"",Drinks Fridge,$30.90,$0.00,$0.00,$30.90,$0.00,ea,6,0,$30.90,9339948000720
All Good Foods,Taste Nirvana Coconut Water 700ml,Regular,"",Drinks Fridge,$35.80,$0.00,$0.00,$35.80,$0.00,ea,4,0,$35.80,011259904247
All Good Foods,Alive Foods Earth and Sea Sauerkraut 440g,Regular,"",Fridge & Freezer,$15.00,$0.00,$0.00,$15.00,$0.00,ea,1,0,$15.00,764210573210
All Good Foods,"Tempeh Burger 200g, Nutrisoy",Regular,"",Fridge & Freezer,$13.40,$0.00,$0.00,$13.40,$0.00,ea,2,0,$13.40,9313727001115
All Good Foods,"Beetroot Quinoa & Chia 8 Wraps 200g, Mountain Bread",Regular,"",Groceries,$5.50,$0.00,$0.00,$5.50,$0.00,ea,1,0,$5.50,789673000509
All Good Foods,Blue Corn Tortillas 12 Dona Cholita,Regular,"",Groceries,$7.82,$0.00,$0.00,$7.82,$0.78,ea,1,0,$8.60,683405832416
All Good Foods,"Brown Rice & Flax Sprouted Bread 900g, Pure Life",Regular,"",Groceries,$48.00,$0.00,-$1.60,$46.40,$0.00,ea,3,0,$46.40,9327546002109
