Vendor Name,Item Name,Item Variation,SKU,Category,Product Sales,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,Gross Sales,GTIN
All Good Foods,Alive Foods Earth and Sea Sauerkraut 440g,Regular,"",Fridge & Freezer,$15.00,$0.00,$0.00,$15.00,$0.00,ea,1,0,$15.00,764210573210
All Good Foods,Humble Vegan Pesto 200g,Regular,"",Fridge & Freezer,$6.30,$0.00,-$6.30,$0.00,$0.00,ea,1,0,$0.00,9314075001741
All Good Foods,"Tempeh Burger 200g, Nutrisoy",Regular,"",Fridge & Freezer,$20.10,$0.00,-$1.34,$18.76,$0.00,ea,3,0,$18.76,9313727001115
All Good Foods,Cashew Cheese - Garlic 270g Nutty Bay,Regular,"",Groceries,$15.00,$0.00,$0.00,$15.00,$0.00,ea,1,0,$15.00,787099328153
All Good Foods,Coconut Groove 520ml,Regular,"",Groceries,$56.00,$0.00,$0.00,$56.00,$0.00,ea,14,0,$56.00,609613796258
All Good Foods,"Corn Crispbread 125g, Orgran",Regular,"",Groceries,$5.09,$0.00,$0.00,$5.09,$0.51,ea,1,0,$5.60,720516022050
All Good Foods,"Date & Walnut Sprouted Bread 1.1kg, Pure Life",Regular,"",Groceries,$30.90,$0.00,$0.00,$30.90,$0.00,ea,2,0,$30.90,9327546002130
All Good Foods,Dayelsford & Hepburn Org Cola 300ml,Regular,"",Groceries,$10.30,$0.00,$0.00,$10.30,$0.00,ea,2,0,$10.30,9339948000720
All Good Foods,Daylesford and Hepburn Sparkling Mineral Water 750,Regular,"",Groceries,$29.09,$0.00,-$2.54,$26.55,$2.66,ea,5,0,$29.21,9339948000232
All Good Foods,Daylesford and Hepburn Still Water 750ml,Regular,"",Groceries,$107.95,$0.00,-$6.67,$101.28,$0.00,ea,17,0,$101.28,9339948000249
All Good Foods,Dona Cholita Chipotle Corn Totops 170g,Regular,"",Groceries,$19.60,$0.00,$0.00,$19.60,$2.00,ea,2,0,$21.60,735204341658
All Good Foods,Dona Cholita White Corn Totops 170g,Regular,"",Groceries,$9.80,$0.00,$0.00,$9.80,$1.00,ea,1,0,$10.80,735204341641
All Good Foods,French Beetroot Sauerkraut 440g Alive Foods,Regular,"",Groceries,$30.00,$0.00,-$3.00,$27.00,$0.00,ea,2,0,$27.00,764210573203
All Good Foods,Fresh Corn Tortillas 12 Dona Cholita,Regular,"",Groceries,$28.51,$0.00,$0.00,$28.51,$2.89,ea,4,0,$31.40,683405832409
All Good Foods,"Harissa Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$7.50,$0.00,$0.00,$7.50,$0.00,ea,1,0,$7.50,9314075001031
All Good Foods,Humble Hummus 900g,Regular,"",Groceries,$36.00,$0.00,$0.00,$36.00,$0.00,ea,4,0,$36.00,9314075001079
All Good Foods,"Instant Plan Flour 500g, Orgran",Regular,"",Groceries,$6.70,$0.00,$0.00,$6.70,$0.00,ea,1,0,$6.70,720516020551
All Good Foods,"Multiseed w Hemp Sprouted Bread 1.1kg, Pure Life",Regular,"",Groceries,$14.40,$0.00,$0.00,$14.40,$0.00,ea,1,0,$14.40,9327546002086
All Good Foods,"Spelt Sprouted Bread 1kg, Pure Life",Regular,"",Groceries,$29.60,$0.00,-$2.96,$26.64,$0.00,ea,2,0,$26.64,9327546002048
All Good Foods,Taste Nirvana Coconut Water 700ml,Regular,"",Groceries,$62.65,$0.00,-$0.89,$61.76,$0.00,ea,7,0,$61.76,011259904247
All Good Foods,Tempeh Organic Chickpea 300g Byron Bay,Regular,"",Groceries,$53.00,$0.00,$0.00,$53.00,$0.00,ea,4,0,$53.00,680569878601
All Good Foods,Tempeh Organic Fava Wakame 300g Byron Bay,Regular,"",Groceries,$53.00,$0.00,-$1.32,$51.68,$0.00,ea,4,0,$51.68,680569878595
All Good Foods,"Tofu Org 350g, Nutrisoy",Regular,"",Groceries,$46.00,$0.00,-$1.15,$44.85,$0.00,ea,8,0,$44.85,9313727000118
All Good Foods,"Tofu Org 750g, Nutrisoy",Regular,"",Groceries,$22.00,$0.00,-$2.20,$19.80,$0.00,ea,2,0,$19.80,9313727000125
All Good Foods,Tofu Spicy 200g Nutrisoy,Regular,"",Groceries,$6.00,$0.00,$0.00,$6.00,$0.00,ea,1,0,$6.00,9313727002013
All Good Foods,Traditional Hummus 270g Naked Byron Foods Org,Regular,"",Groceries,$6.27,$0.00,$0.00,$6.27,$0.63,ea,1,0,$6.90,9314075001000
All Good Foods,Traditional Sauerkraut 440g Alive Foods,Regular,"",Groceries,$30.00,$0.00,$0.00,$30.00,$0.00,ea,2,0,$30.00,764210573227
All Good Foods,"Vegan Mayonnaise 465g, Naked Byron Foods",Regular,"",Groceries,$9.90,$0.00,$0.00,$9.90,$0.00,ea,1,0,$9.90,9314075000409
All Good Foods,"Za'atar Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$22.50,$0.00,$0.00,$22.50,$0.00,ea,3,0,$22.50,9314075001024
