Vendor Name,Item Name,Item Variation,SKU,Category,Product Sales,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,Gross Sales,GTIN
All Good Foods,"Ezekiel Sprouted Bread 1kg, Pure Life",Regular,"",Fridge & Freezer,$14.90,$0.00,-$2.98,$11.92,$0.00,ea,1,0,$11.92,9327546002154
All Good Foods,Humble Vegan Pesto 200g,Regular,"",Fridge & Freezer,$6.30,$0.00,$0.00,$6.30,$0.00,ea,1,0,$6.30,9314075001741
All Good Foods,"Wasabi Mayo 235g, Naked Byron Foods Vegan",Regular,"",Fridge & Freezer,$7.40,$0.00,$0.00,$7.40,$0.00,ea,1,0,$7.40,9314075099922
All Good Foods,"cashew cheese chives and shallots, 270g, nutty byron bay",Regular,"",Fridge & Freezer,$15.00,$0.00,-$3.00,$12.00,$0.00,ea,1,0,$12.00,787099328177
All Good Foods,"Buckwheat Crispbread 125g, Orgran",Regular,"",Groceries,$5.08,$0.00,$0.00,$5.08,$0.52,ea,1,0,$5.60,720516021961
All Good Foods,Coconut Groove 520ml,Regular,"",Groceries,$24.00,$0.00,$0.00,$24.00,$0.00,ea,6,0,$24.00,609613796258
All Good Foods,Crispibread Quinoa 125g,Regular,"",Groceries,$5.09,$0.00,$0.00,$5.09,$0.51,ea,1,0,$5.60,720516022234
All Good Foods,"Date & Walnut Sprouted Bread 1.1kg, Pure Life",Regular,"",Groceries,$15.45,$0.00,$0.00,$15.45,$0.00,ea,1,0,$15.45,9327546002130
All Good Foods,Dayelsford & Hepburn Org Cola 300ml,Regular,"",Groceries,$10.30,$0.00,-$1.85,$8.45,$0.00,ea,2,0,$8.45,9339948000720
All Good Foods,Daylesford and Hepburn Sparkling Mineral Water 750,Regular,"",Groceries,$23.29,$0.00,-$2.54,$20.75,$2.11,ea,4,0,$22.86,9339948000232
All Good Foods,Daylesford and Hepburn Still Water 750ml,Regular,"",Groceries,$38.10,$0.00,-$0.95,$37.15,$0.00,ea,6,0,$37.15,9339948000249
All Good Foods,Dona Cholita Chipotle Corn Totops 170g,Regular,"",Groceries,$29.40,$0.00,$0.00,$29.40,$3.00,ea,3,0,$32.40,735204341658
All Good Foods,Dona Cholita White Corn Totops 170g,Regular,"",Groceries,$10.01,$0.00,-$2.16,$7.85,$0.79,ea,1,0,$8.64,735204341641
All Good Foods,French Beetroot Sauerkraut 440g Alive Foods,Regular,"",Groceries,$15.00,$0.00,-$2.25,$12.75,$0.00,ea,1,0,$12.75,764210573203
All Good Foods,Fresh Corn Tortillas 12 Dona Cholita,Regular,"",Groceries,$22.83,$0.00,$0.00,$22.83,$0.72,ea,3,0,$23.55,683405832409
All Good Foods,"Harissa Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$7.50,$0.00,$0.00,$7.50,$0.00,ea,1,0,$7.50,9314075001031
All Good Foods,Humble Hummus 900g,Regular,"",Groceries,$18.00,$0.00,$0.00,$18.00,$0.00,ea,2,0,$18.00,9314075001079
All Good Foods,"Multiseed w Hemp Sprouted Bread 1.1kg, Pure Life",Regular,"",Groceries,$14.40,$0.00,$0.00,$14.40,$0.00,ea,1,0,$14.40,9327546002086
All Good Foods,"Organic Beef Bone Broth 1L, Mullumbimbi Merchants",Regular,"",Groceries,$25.50,$0.00,$0.00,$25.50,$0.00,ea,1,0,$25.50,9314075003004
All Good Foods,"Organic Chicken Bone Broth 1L , Mullumbimbi Merchants",Regular,"",Groceries,$25.50,$0.00,$0.00,$25.50,$0.00,ea,1,0,$25.50,9314075002977
All Good Foods,Rosebank Coffee Ground - Dark 200g,Regular,"",Groceries,$12.70,$0.00,$0.00,$12.70,$0.00,ea,1,0,$12.70,9369999022549
All Good Foods,Taste Nirvana Coconut Water 700ml,Regular,"",Groceries,$89.50,$0.00,-$8.95,$80.55,$0.00,ea,10,0,$80.55,011259904247
All Good Foods,Tempeh Organic Chickpea 300g Byron Bay,Regular,"",Groceries,$26.50,$0.00,-$5.30,$21.20,$0.00,ea,2,0,$21.20,680569878601
All Good Foods,Tempeh Organic Fava Wakame 300g Byron Bay,Regular,"",Groceries,$13.25,$0.00,$0.00,$13.25,$0.00,ea,1,0,$13.25,680569878595
All Good Foods,"Tofu Org 350g, Nutrisoy",Regular,"",Groceries,$28.75,$0.00,-$2.30,$26.45,$0.00,ea,5,0,$26.45,9313727000118
All Good Foods,Tofu Teriyaki 200g Nutrisoy,Regular,"",Groceries,$18.00,$0.00,-$1.20,$16.80,$0.00,ea,3,0,$16.80,9313727002020
All Good Foods,Traditional Hummus 270g Naked Byron Foods Org,Regular,"",Groceries,$6.27,$0.00,$0.00,$6.27,$0.63,ea,1,0,$6.90,9314075001000
