Vendor Name,Item Name,Item Variation,SKU,Category,Product Sales,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,Gross Sales,GTIN
All Good Foods,Alive Foods Earth and Sea Sauerkraut 440g,Regular,"",Fridge & Freezer,$15.00,$0.00,$0.00,$15.00,$0.00,ea,1,0,$15.00,764210573210
All Good Foods,"Cashew Cheese Chives & Shallots 270g, Nutty Byron Bay",Regular,"",Fridge & Freezer,$15.00,$0.00,$0.00,$15.00,$0.00,ea,1,0,$15.00,787099328177
All Good Foods,Humble Vegan Pesto 200g,Regular,"",Fridge & Freezer,$12.60,$0.00,$0.00,$12.60,$0.00,ea,2,0,$12.60,9314075001741
All Good Foods,"Tempeh Burger 200g, Nutrisoy",Regular,"",Fridge & Freezer,$6.70,$0.00,$0.00,$6.70,$0.00,ea,1,0,$6.70,9313727001115
All Good Foods,"cashew cheese chives and shallots, 270g, nutty byron bay",Regular,"",Fridge & Freezer,$15.00,$0.00,-$7.50,$7.50,$0.00,ea,1,0,$7.50,787099328177
All Good Foods,"Beetroot Quinoa & Chia 8 Wraps 200g, Mountain Bread",Regular,"",Groceries,$16.50,$0.00,$0.00,$16.50,$0.00,ea,3,0,$16.50,789673000509
All Good Foods,"Brown Rice & Flax Sprouted Bread 900g, Pure Life",Regular,"",Groceries,$16.00,$0.00,-$1.60,$14.40,$0.00,ea,1,0,$14.40,9327546002109
All Good Foods,Buontempo Penne 600gm,Regular,"",Groceries,$7.65,$0.00,$0.00,$7.65,$0.00,ea,1,0,$7.65,720516026072
All Good Foods,Coconut Groove 520ml,Regular,"",Groceries,$72.00,$0.00,$0.00,$72.00,$0.00,ea,18,0,$72.00,609613796258
All Good Foods,"Corn & Vegetable Penne 350g, Orgran",Regular,"",Groceries,$6.80,$0.00,$0.00,$6.80,$0.00,ea,1,0,$6.80,720516025822
All Good Foods,Dayelsford & Hepburn Org Cola 300ml,Regular,"",Groceries,$20.60,$0.00,$0.00,$20.60,$0.00,ea,4,0,$20.60,9339948000720
All Good Foods,Daylesford and Hepburn Sparkling Mineral Water 750,Regular,"",Groceries,$23.07,$0.00,$0.00,$23.07,$2.33,ea,4,0,$25.40,9339948000232
All Good Foods,Daylesford and Hepburn Still Water 750ml,Regular,"",Groceries,$22.00,$0.00,-$4.40,$17.60,$0.00,ea,4,0,$17.60,9339948000249
All Good Foods,Dona Cholita Chipotle Corn Totops 170g,Regular,"",Groceries,$9.82,$0.00,$0.00,$9.82,$0.98,ea,1,0,$10.80,735204341658
All Good Foods,Dona Cholita White Corn Totops 170g,Regular,"",Groceries,$9.80,$0.00,$0.00,$9.80,$1.00,ea,1,0,$10.80,735204341641
